id,question,answer1,answer2,answer3,answer4,correctAnswer,explanation,signId,image,chapter,isFailingPoint,otomotoExplanation,isHard,isSaved,questionStatus
21,"Việc lái xe mô tô, ô tô, máy kéo ngay sau khi uống rượu, bia có được phép hay không?",Không được phép.,Chỉ được lái ở tốc độ chậm và quãng đường ngắn.,Chỉ được lái nếu trong cơ thể có nồng độ cồn thấp.,,1,Uống rượu bia không được lái xe.,,,1,1,Tham gia giao thông sau khi sử dụng rượu bia tuyệt đối bị nghiêm cấm.,,,
22,"Người điều khiển xe ô tô, mô tô, máy kéo trên đường mà trong máu hoặc hơi thở có nồng độ cồn có bị nghiêm cấm không?",Bị nghiêm cấm.,Không bị nghiêm cấm.,"Không bị nghiêm cấm, nếu nồng độ cồn trong máu ở mức nhẹ, có thể điều khiển phương tiện tham gia giao thông.",,1,Trong máu hoặc hơi thở có nồng độ cồn bị nghiêm cấm.,,,1,1,"Theo nghị định 100, tham gia giao thông sau khi sử dụng rượu bia tuyệt đối bị nghiêm cấm, không phân biệt nồng độ cồn bao nhiêu, không phân biệt uống 1 ly hay 2 lon.",,,
23,"Sử dụng rượu, bia khi lái xe, nếu bị phát hiện thì bị xử lý như thế nào?",Chỉ bị nhắc nhở.,Bị xử phạt hành chính hoặc có thể bị xử lý hình sự tùy theo mức độ vi phạm.,Không bị xử lý hình sự.,,2,"Sử dụng rượu, bia khi lái xe bị phạt hành chính hoặc xử lý hình sự.",,,1,1,"Bị nghiêm cấm tham gia giao thông sau khi sử dụng rượu bia, xử phạt hành chính hoặc hình sự theo mức độ nghiêm trọng.",,,
24,"Theo Luật phòng chống tác hại của rượu, bia, đối tượng nào dưới đây bị cấm sử dụng rượu, bia khi tham gia giao thông?","Người điều khiển: Xe ô tô, xe mô tô, xe đạp, xe gắn máy.",Người ngồi phía sau người điều khiển xe cơ giới.,Người đi bộ.,Cả ý 1 và ý 2.,1,"Người điều khiển bị cấm sử dụng rượu, bia khi tham gia giao thông.",,,1,1,Chỉ người điều khiển phương tiện giao thông bị phạt.,1,,
25,"Hành vi giao xe cơ giới, xe máy chuyên dùng cho người không đủ điều kiện để điều khiển xe tham gia giao thông có được phép hay không?",Chỉ được thực hiện nếu đã hướng dẫn đầy đủ.,Không được phép.,Được phép tùy từng trường hợp.,Chỉ được phép thực hiện với thành viên trong gia đình.,2,Không được phép giao xe cho người không đủ điều khiện tham gia giao thông.,,,1,1,Tuyệt đối nghiêm cấm giao phương tiện giao thông cho người không đủ điều kiện điều khiển.,,,
26,"Hành vi điều khiển xe cơ giới chạy quá tốc độ quy định, giành đường, vượt ẩu có bị nghiêm cấm hay không?",Bị nghiêm cấm tùy từng trường hợp.,Không bị nghiêm cấm.,Bị nghiêm cấm.,,3,,,,1,1,Bị nghiêm cấm và xử phạt theo luật định.,,,
27,"Khi lái xe trên đường, người lái xe cần quan sát và bảo đảm tốc độ phương tiện như thế nào?",Chỉ lớn hơn tốc độ tối đa cho phép khi đường vắng.,Chỉ lớn hơn tốc độ tối đa cho phép vào ban đêm.,Không vượt quá tốc độ cho phép.,,3,,,,1,1,Nguyên tắc là phải đảm bảo tốc độ bằng hoặc thấp hơn tốc độ cho phép.,,,
28,Phương tiện giao thông đường bộ di chuyển với tốc độ thấp hơn phải đi như thế nào?,Đi về phía bên trái.,Đi về phía bên phải.,Đi ở giữa.,,2,Di chuyển tốc độ thấp hơn đi về phía bên phải.,,,1,1,"Phương tiện tốc độ thấp hơn đi về phía bên phải, phương tiện tốc độ cao hơn đi về phía bên trái.",,,
29,"Trên đường có nhiều làn đường, khi điều khiển phương tiện ở tốc độ chậm bạn phải đi ở làn đường nào?",Đi ở làn bên phải trong cùng.,Đi ở làn phía bên trái.,Đi ở làn giữa.,Đi ở bất cứ làn nào nhưng phải bấm đèn cảnh báo nguy hiểm để báo hiệu cho các phương tiện khác.,1,Tốc độ chậm đi ở làn bên phải trong cùng.,,,1,1,"Phương tiện có tốc độ chậm phải đi về phía bên phải trong cùng, phương tiện có tốc độ cao di chuyển ở làn bên trái.",,,
30,"Hành vi vượt xe tại các vị trí có tầm nhìn hạn chế, đường vòng, đầu dốc có bị nghiêm cấm hay không?",Không bị nghiêm cấm.,Không bị nghiêm cấm khi rất vội.,Bị nghiêm cấm.,Không bị nghiêm cấm khi khẩn cấp.,3,,,,1,1,Bị nghiêm cấm và xử phạt theo luật định.,,,
31,"Khi lái xe trong khu đô thị và đông dân cư trừ các khu vực có biển cấm sử dụng còi, người lái xe được sử dụng còi như thế nào trong các trường hợp dưới đây?",Từ 22 giờ đêm đến 5 giờ sáng.,Từ 5 giờ sáng đến 22 giờ tối.,Từ 23 giờ đêm đến 5 giờ sáng hôm sau.,,2,Chỉ sử dụng còi từ 5 giờ sáng đến 22 giờ tối.,,,1,,,,,
32,Người lái xe sử dụng đèn như thế nào khi lái xe trong khu đô thị và đông dân cư vào ban đêm?,Bất cứ đèn nào miễn là mắt nhìn rõ phía trước.,Chỉ bật đèn chiếu xa (đèn pha) khi không nhìn rõ đường.,"Đèn chiếu xa (đèn pha) khi đường vắng, đèn pha chiếu gần (đèn cốt) khi có xe đi ngược chiều.",Đèn chiếu gần (đèn cốt).,4,Trong đô thị sử dụng đèn chiếu gần.,,,1,,,1,,
33,"Hành vi lắp đặt, sử dụng còi, đèn không đúng thiết kế của nhà sản xuất đối với từng loại xe cơ giới có được phép hay không?",Được phép.,Không được phép.,Được phép tùy từng trường hợp.,,2,Không được phép lắp đặt còi đèn không đúng thiết kế.,,,1,1,,,,
34,"Trong trường hợp đặc biệt, để được lắp đặt, sử dụng còi, đèn khác thiết kế của nhà sản xuất đối với từng loại xe cơ giới bạn phải đảm bảo yêu cầu nào dưới đây?",Phải đảm bảo phụ tùng do đúng nhà sản xuất đó cung cấp.,Phải được chấp thuận của cơ quan có thẩm quyền.,Phải là xe đăng ký và hoạt động tại các khu vực có địa hình phức tạp.,,2,Lắp đặt còi đèn không đúng thiết kế phải được chấp thuận của cơ quan có thẩm quyền.,,,1,,,,,
35,"Việc sản xuất, mua bán, sử dụng biển số xe cơ giới, xe máy chuyên dùng được quy định như thế nào trong Luật Giao thông đường bộ?","Được phép sản xuất, sử dụng khi bị mất biển số.","Được phép mua bán, sử dụng khi bị mất biển số.","Nghiêm cấm sản xuất, mua bán, sử dụng trái phép.",,3,,,,1,1,,,,
36,Người lái xe không được vượt xe khác khi gặp trường hợp nào ghi ở dưới đây?,"Trên cầu hẹp có một làn xe. Nơi đường giao nhau, đường bộ giao nhau cùng mức với đường sắt; xe được quyền ưu tiên đang phát tín hiệu ưu tiên đi làm nhiệm vụ.",Trên cầu có từ 02 làn xe trở lên; nơi đường bộ giao nhau không cùng mức với đường sắt; xe được quyền ưu tiên đang đi phía trước nhưng không phát tín hiệu ưu tiên.,Trên đường có 2 làn đường được phân chia làn bằng vạch kẻ nét đứt.,,1,Không được vượt trên cầu hẹp có một làn xe.,,,1,1,,,,
37,"Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, đường cao tốc, đường hẹp, đường dốc, tại nơi đường bộ giao nhau cùng mức với đường sắt có được quay đầu xe hay không?",Được phép.,Không được phép.,Tùy từng trường hợp.,,2,Không được phép quay đầu xe ở phần đường dành cho người đi bộ qua đường.,,,1,1,,,,
38,Bạn đang lái xe phía trước có một xe cảnh sát giao thông không phát tín hiệu ưu tiên bạn có được phép vượt hay không?,Không được vượt.,Được vượt khi đang đi trên cầu.,Được phép vượt khi đi qua nơi giao nhau có ít phương tiện cùng tham gia giao thông.,Được vượt khi đảm bảo an toàn.,4,Được vượt khi xe không phát tín hiệu ưu tiên.,,,1,,,1,,
39,Bạn đang lái xe phía trước có một xe cứu thương đang phát tín hiệu ưu tiên bạn có được phép vượt hay không?,Không được vượt.,Được vượt khi đang đi trên cầu.,Được phép vượt khi đi qua nơi giao nhau có ít phương tiện cùng tham gia giao thông.,Được vượt khi đảm bảo an toàn.,1,Không được vượt khi đang phát tín hiệu ưu tiên.,,,1,,,,,
40,Người lái xe không được quay đầu xe trong các trường hợp nào dưới đây?,"Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, đường cao tốc, đường hẹp, đường dốc, tại nơi đường bộ giao nhau cùng mức với đường sắt.","Ở phía trước hoặc phía sau của phần đường dành cho người đi bộ qua đường, trên đường quốc lộ, tại nơi đường bộ giao nhau không cùng mức với đường sắt.",Cả ý 1 và ý 2.,,1,Không được phép quay đầu xe ở phần đường dành cho người đi bộ qua đường.,,,1,1,,1,,
41,"Bạn đang lái xe trong khu dân cư, có đông xe qua lại, nếu muốn quay đầu xe bạn cần làm gì để tránh ùn tắc và đảm bảo an toàn giao thông?",Đi tiếp đến điểm giao cắt gần nhất hoặc nơi có biển báo cho phép quay đầu xe.,Bấm đèn khẩn cấp và quay đầu xe từ từ bảo đảm an toàn.,Bấm còi liên tục khi quay đầu xe để cảnh báo các xe khác.,Nhờ một người ra hiệu giao thông trên đường chậm lại trước khi quay đầu.,1,Chỉ quay đầu xe ở điểm giao cắt hoặc nơi có biển báo cho phép quay đầu xe.,,,1,,,,,
42,Người lái xe không được lùi xe ở những khu vực nào dưới đây?,Ở khu vực cho phép đỗ xe.,Ở khu vực cấm dừng và trên phần đường dành cho người đi bộ qua đường.,"Nơi đường bộ giao nhau, đường bộ giao nhau cùng mức với đường sắt, nơi tầm nhìn bị che khuất, trong hầm đường bộ, đường cao tốc.",Cả ý 2 và ý 3.,4,Cấm lùi xe ở khu vực cấm dừng và nơi đường bộ giao nhau.,,,1,,,,,
43,"Người điều khiển phương tiện giao thông trên đường phố có được dừng xe, đỗ xe trên miệng cống thoát nước, miệng hầm của đường điện thoại, điện cao thế, chỗ dành riêng cho xe chữa cháy lấy nước hay không?","Được dừng xe, đỗ xe trong trường hợp cần thiết.","Không được dừng xe, đỗ xe.","Được dừng xe, không được đỗ xe.",,2,"Không được dừng, đỗ xe trên miệng cống thoát nước.",,,1,1,,,,
44,"Khi xe đã kéo 1 xe hoặc xe đã kéo 1 rơ moóc, bạn có được phép kéo thêm xe (kể cả xe thô sơ) hoặc rơ moóc thứ hai hay không?",Chỉ được thực hiện trên đường quốc lộ có hai làn xe một chiều.,Chỉ được thực hiện trên đường cao tốc.,Không được thực hiện vào ban ngày.,Không được phép.,4,Xe kéo đã kéo rơ moóc không được kéo thêm xe.,,,1,,,,,
45,"Người điều khiển xe mô tô hai bánh, ba bánh, xe gắn máy có được phép sử dụng xe để kéo hoặc đẩy các phương tiện khác khi tham gia giao thông không?",Được phép.,"Nếu phương tiện được kéo, đẩy có khối lượng nhỏ hơn phương tiện của mình.",Tùy trường hợp.,Không được phép.,4,Xe mô tô không được kéo xe khác.,,,1,1,,,,
46,"Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi buông cả hai tay; sử dụng xe để kéo, đẩy xe khác, vật khác; sử dụng chân chống của xe quệt xuống đường khi xe đang chạy có được phép hay không?",Được phép.,Tùy trường hợp.,Không được phép.,,3,,,,1,1,,,,
47,"Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi nào không được phép?","Buông cả hai tay; sử dụng xe để kéo, đẩy xe khác, vật khác; sử dụng chân chống của xe quệt xuống đường khi xe đang chạy.",Buông một tay; sử dụng xe để chở người hoặc hàng hoá; để chân chạm xuống đất khi khởi hành.,Đội mũ bảo hiểm; chạy xe đúng tốc độ quy định và chấp hành đúng quy tắc giao thông đường bộ.,Chở người ngồi sau dưới 16 tuổi.,1,,,,1,1,,,,
48,"Người ngồi trên xe mô tô hai bánh, ba bánh, xe gắn máy khi tham gia giao thông có được mang, vác vật cồng kềnh hay không?","Được mang, vác tùy trường hợp cụ thể.","Không được mang, vác.","Được mang, vác nhưng phải đảm bảo an toàn.",Được mang vác tùy theo sức khỏe của bản thân.,2,Xe mô tô không được mang vác vật cồng kềnh.,,,1,1,,,,
49,"Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được bám, kéo hoặc đẩy các phương tiện khác không?",Được phép.,Được bám trong trường hợp phương tiện của mình bị hỏng.,"Được kéo, đẩy trong trường hợp phương tiện khác bị hỏng.",Không được phép.,4,Xe mô tô không được kéo xe khác.,,,1,1,,,,
50,"Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được sử dụng ô khi trời mưa hay không?",Được sử dụng.,Chỉ người ngồi sau được sử dụng.,Không được sử dụng.,Được sử dụng nếu không có áo mưa.,3,Không được sử dụng ô.,,,1,1,,,,
51,Khi đang lên dốc người ngồi trên xe mô tô có được phép kéo theo người đang điều khiển xe đạp hay không?,Chỉ được phép nếu cả hai đội mũ bảo hiểm.,Không được phép.,Chỉ được phép thực hiện trên đường thật vắng.,Chỉ được phép khi người đi xe đạp đã quá mệt.,2,Xe mô tô không được kéo xe khác.,,,1,1,,,,
52,"Hành vi sử dụng xe mô tô để kéo, đẩy xe mô tô khác bị hết xăng đến trạm mua xăng có được phép hay không?",Chỉ được kéo nếu đã nhìn thấy trạm xăng.,Chỉ được thực hiện trên đường vắng phương tiện cùng tham gia giao thông.,Không được phép.,,3,Xe mô tô không được kéo xe khác.,,,1,1,,,,
53,"Hành vi vận chuyển đồ vật cồng kềnh bằng xe mô tô, xe gắn máy khi tham gia giao thông có được phép hay không?",Không được vận chuyển.,Chỉ được vận chuyển khi đã chằng buộc cẩn thận.,Chỉ được vận chuyển vật cồng kềnh trên xe máy nếu khoảng cách về nhà ngắn hơn 2 km.,,1,Xe mô tô không được mang vác vật cồng kềnh.,,,1,1,,,,
54,"Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe ô tô tải, máy kéo có trọng tải từ 3.500 kg trở lên; xe hạng B2 kéo rơ moóc (FB2)?",19 tuổi.,21 tuổi.,20 tuổi.,,2,"Độ tuổi lấy bằng theo hạng (cách nhau 3 tuổi): 16: Xe dưới 50cm3; 18: Hạng A, B1, B2; 21: Hạng C, FB; 24: Hạng D, FC; 27: hạng E, FD.",,,1,,,,,
55,"Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi lanh từ 50 cm3 trở lên và các loại xe có kết cấu tương tự; xe ô tô tải, máy kéo có trọng tải dưới 3.500 kg; xe ô tô chở người đến 9 chỗ ngồi?",16 tuổi.,18 tuổi.,17 tuổi.,,2,"Độ tuổi lấy bằng theo hạng (cách nhau 3 tuổi): 16: Xe dưới 50cm3; 18: Hạng A, B1, B2; 21: Hạng C, FB; 24: Hạng D, FC; 27: hạng E, FD.",,,1,,,,,
